sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67212.98500000,67150.66500000,67115.98107050,,
1,67237.46500000,67154.30000000,67115.98107050,,
2,67247.46500000,67176.91500000,67130.57357557,,67115.98107050
3,67247.46500000,67189.00500000,67163.22600000,67115.98107050,67115.98107050
4,67236.04500000,67180.49000000,67185.15266725,67115.98107050,67130.57357557
5,67222.01500000,67171.38500000,67187.80226039,67130.57357557,67163.22600000
6,67218.85500000,67155.15500000,67182.30595700,67163.22600000,67185.15266725
7,67218.85500000,67159.19500000,67177.97160546,67185.15266725,67187.80226039
8,67213.59500000,67151.52000000,67162.73500000,67187.80226039,67182.30595700
9,67213.59500000,67148.71500000,67163.49727986,67182.30595700,67177.97160546
10,67201.56500000,67151.63500000,67158.43000000,67177.97160546,67162.73500000
11,67201.56500000,67137.94000000,67155.04427756,67162.73500000,67163.49727986
12,67211.33500000,67144.15000000,67155.33107455,67163.49727986,67158.43000000
13,67213.99500000,67155.87500000,67147.67543553,67158.43000000,67155.04427756
14,67213.99500000,67155.92500000,67152.35956534,67155.04427756,67155.33107455
15,67214.00500000,67152.30500000,67155.40301000,67155.33107455,67147.67543553
16,67232.03500000,67155.93500000,67155.40301000,67147.67543553,67152.35956534
17,67246.79500000,67173.56500000,67155.26719729,67152.35956534,67155.40301000
18,67246.79500000,67189.98500000,67158.77516967,67155.40301000,67155.40301000
19,67246.79500000,67188.45500000,67184.04112547,67155.40301000,67155.26719729
20,67247.99500000,67187.59000000,67184.67228071,67155.26719729,67158.77516967
21,67254.17500000,67194.04000000,67188.88000000,67158.77516967,67184.04112547
22,67254.17500000,67201.12000000,67190.33408938,67184.04112547,67184.67228071
23,67255.87500000,67199.44500000,67194.25000000,67184.67228071,67188.88000000
24,67252.79500000,67199.44500000,67198.45711000,67188.88000000,67190.33408938
25,67249.99500000,67188.90000000,67199.15463000,67190.33408938,67194.25000000
26,67251.54500000,67185.35500000,67192.30407614,67194.25000000,67198.45711000
27,67251.54500000,67191.09000000,67190.97813124,67198.45711000,67199.15463000
28,67251.54500000,67195.10500000,67189.32537771,67199.15463000,67192.30407614
29,67251.54500000,67195.11500000,67193.44577471,67192.30407614,67190.97813124
30,67256.20500000,67191.12500000,67195.43061000,67190.97813124,67189.32537771
31,67256.20500000,67200.81000000,67194.95498323,67189.32537771,67193.44577471
32,67265.79500000,67197.50500000,67194.50282000,67193.44577471,67195.43061000
33,67283.10500000,67207.18500000,67198.33426500,67195.43061000,67194.95498323
34,67287.59500000,67230.41500000,67203.93100000,67194.95498323,67194.50282000
35,67322.60500000,67239.90500000,67220.09208068,67194.50282000,67198.33426500
36,67322.60500000,67259.78500000,67228.94295736,67198.33426500,67203.93100000
37,67317.16500000,67257.87500000,67258.76477654,67203.93100000,67220.09208068
38,67310.03500000,67254.82000000,67259.50700000,67220.09208068,67228.94295736
39,67313.73500000,67241.97000000,67263.16382077,67228.94295736,67258.76477654
40,67313.73500000,67255.76000000,67258.47166183,67258.76477654,67259.50700000
41,67310.03500000,67248.99000000,67251.54833382,67259.50700000,67263.16382077
42,67310.03500000,67246.13500000,67258.80414948,67263.16382077,67258.47166183
43,67301.00500000,67245.64500000,67256.92000000,67258.47166183,67251.54833382
44,67307.23500000,67232.80500000,67251.67000000,67251.54833382,67258.80414948
45,67307.23500000,67247.27500000,67243.64364434,67258.80414948,67256.92000000
46,67301.00500000,67242.83500000,67247.30900000,67256.92000000,67251.67000000
47,67294.48500000,67236.44000000,67247.30900000,67251.67000000,67243.64364434
48,67286.84500000,67220.28500000,67247.51034988,67243.64364434,67247.30900000
49,67293.19500000,67215.76500000,67243.37626426,67247.30900000,67247.30900000
50,67293.19500000,67233.79000000,67229.08000000,67247.30900000,67247.51034988
51,67293.19500000,67235.98500000,67228.03499319,67247.51034988,67243.37626426
52,67290.48500000,67229.13500000,67236.03788000,67243.37626426,67229.08000000
53,67290.48500000,67226.88000000,67235.98892868,67229.08000000,67228.03499319
54,67293.19500000,67223.24000000,67230.04804370,67228.03499319,67236.03788000
55,67293.19500000,67234.23500000,67230.04804370,67236.03788000,67235.98892868
56,67293.19500000,67234.28000000,67232.69832532,67235.98892868,67230.04804370
57,67293.19500000,67231.01500000,67236.53324359,67230.04804370,67230.04804370
58,67293.19500000,67229.29500000,67236.03428802,67230.04804370,67232.69832532
