run,timestamp,latency_ms
1,2026-04-02T23:32:48.200275,322.4702030129265
2,2026-04-02T23:32:48.280873,80.56171698262915
3,2026-04-02T23:32:48.358679,77.77240700670518
4,2026-04-02T23:32:48.436620,77.9135339835193
5,2026-04-02T23:32:48.511382,74.73186199786142
6,2026-04-02T23:32:48.586495,75.08328199037351
7,2026-04-02T23:32:48.661309,74.7829960018862
8,2026-04-02T23:32:48.739588,78.24991398956627
9,2026-04-02T23:32:48.816355,76.73693800461479
10,2026-04-02T23:32:48.893750,77.36131499405019
11,2026-04-02T23:32:48.968515,74.7300999937579
12,2026-04-02T23:32:49.044677,76.1310080124531
13,2026-04-02T23:32:49.122381,77.67396199051291
14,2026-04-02T23:32:49.201701,79.29106699884869
15,2026-04-02T23:32:49.278498,76.7678449919913
16,2026-04-02T23:32:49.351532,73.00493301590905
17,2026-04-02T23:32:49.426864,75.30020698322915
18,2026-04-02T23:32:49.503475,76.57607199507765
19,2026-04-02T23:32:49.589766,86.26343600917608
20,2026-04-02T23:32:49.665227,75.43241299572401
21,2026-04-02T23:32:49.749705,84.44976198370568
22,2026-04-02T23:32:49.827544,77.80992600601166
23,2026-04-02T23:32:49.901659,74.08306500292383
24,2026-04-02T23:32:49.976367,74.67805800843053
25,2026-04-02T23:32:50.053295,76.89863399718888
26,2026-04-02T23:32:50.128987,75.66267301444896
27,2026-04-02T23:32:50.204867,75.84931098972447
28,2026-04-02T23:32:50.280842,75.94448598683812
29,2026-04-02T23:32:50.357632,76.7612109775655
30,2026-04-02T23:32:50.430472,72.81122301355936
31,2026-04-02T23:32:50.504096,73.59568498213775
32,2026-04-02T23:32:50.575410,71.28484098939225
33,2026-04-02T23:32:50.649839,74.39857299323194
34,2026-04-02T23:32:50.725734,75.86753999930806
35,2026-04-02T23:32:50.803296,77.53379998030141
36,2026-04-02T23:32:50.877212,73.88402501237579
37,2026-04-02T23:32:50.963303,86.04545201524161
38,2026-04-02T23:32:51.037650,74.31786801316775
39,2026-04-02T23:32:51.112169,74.48906399076805
40,2026-04-02T23:32:51.187802,75.60527199530043
41,2026-04-02T23:32:51.264514,76.6808990156278
42,2026-04-02T23:32:51.339163,74.62051400216296
43,2026-04-02T23:32:51.413079,73.88690300285816
44,2026-04-02T23:32:51.486479,73.3721959986724
45,2026-04-02T23:32:51.560733,74.22213497920893
46,2026-04-02T23:32:51.636754,75.99172898335382
47,2026-04-02T23:32:51.752288,115.50506198545918
48,2026-04-02T23:32:51.828049,75.73110298835672
49,2026-04-02T23:32:51.913393,85.3146760200616
50,2026-04-02T23:32:51.990210,76.79002900840715
51,2026-04-02T23:32:52.063604,73.36648600175977
52,2026-04-02T23:32:52.137629,73.99597199400887
53,2026-04-02T23:32:52.216604,78.93810799578205
54,2026-04-02T23:32:52.296277,79.62490298086777
55,2026-04-02T23:32:52.370653,74.32447100291029
56,2026-04-02T23:32:52.448188,77.49441600753926
57,2026-04-02T23:32:52.523769,75.54798902128823
58,2026-04-02T23:32:52.599751,75.94423100817949
59,2026-04-02T23:32:52.675746,75.95608799601905
60,2026-04-02T23:32:52.765192,89.40648700809106
61,2026-04-02T23:32:52.839729,74.49492398882285
62,2026-04-02T23:32:52.912667,72.90201398427598
63,2026-04-02T23:32:53.008414,95.71770401089452
64,2026-04-02T23:32:53.083166,74.71957601956092
65,2026-04-02T23:32:53.157913,74.71617800183594
66,2026-04-02T23:32:53.244835,86.88982299645431
