ts,side,entry_edge,exit_edge,duration_sec,entry_trend,entry_speed,entry_depth,entry_imbalance,latency_ms,pnl,exit_reason,exit_rsi,rsi_band_lower,rsi_band_upper,rsi_slope,entry_book_px,entry_exec_px,exit_book_px,exit_exec_px,shares_bought,shares_sold,cost_usd,cost_basis_usd,proceeds_usd,entry_up_bid,entry_up_ask,entry_down_bid,entry_down_ask,exit_up_bid,exit_up_ask,exit_down_bid,exit_down_ask,strategy_name,entry_profile,performance_key
1774472467.5386124,UP,17.981480000002193,1.4507449999946402,2.02366042137146,UP,-7.938777871939687,18.417960000006133,0.34759749766954745,244.9999999953434,-1.0435718128025808,PNL_SL,67.07263069973445,14.996928964310106,85.0030710356899,0.0003314641186307199,0.39,0.39038999999999996,0.35,0.34964999999999996,25.61541023079485,25.61541023079485,10.0,10.0,8.95642818719742,0.35,0.39,0.61,0.65,0.35,0.36,0.64,0.65,latency,latency,latency:latency
1774472741.2644043,DOWN,-13.811999999990803,-12.947999999989406,0.8714067935943604,DOWN,-18.72894699511619,13.811999999990803,0.04049595141696306,78.99999999790452,0.8116883116883145,RSI_RANGE_EXIT,8.838133535240999,14.994896774666877,85.00510322533312,0.0,0.72,0.7207199999999999,0.78,0.77922,13.875013875013877,13.875013875013877,10.0,10.0,10.811688311688314,0.28,0.29,0.71,0.72,0.21,0.22,0.78,0.79,latency,latency,latency:latency
1774474927.5986538,UP,17.05000000000291,23.95000000001164,0.44365358352661133,UP,27.273521761747876,17.05000000000291,0.4025527736828419,1007.00000001234,0.8478478043695432,RSI_RANGE_EXIT,100.0,14.99201013311444,85.00798986688555,0.0,0.46,0.46046,0.5,0.4995,21.717413021760848,21.717413021760848,10.0,10.0,10.847847804369543,0.44,0.46,0.54,0.56,0.5,0.51,0.49,0.5,latency,latency,latency:latency
1774474928.4189608,UP,27.680000000007567,31.39096670402796,0.5794980525970459,UP,24.608654140861116,27.680000000007567,0.45819014890305104,680.9999999823049,1.5154076692538219,RSI_RANGE_EXIT,100.0,14.995653659842825,85.00434634015717,0.0,0.52,0.52052,0.6,0.5993999999999999,19.211557673096134,19.211557673096134,10.0,10.0,11.515407669253822,0.5,0.52,0.48,0.5,0.6,0.61,0.39,0.4,latency,latency,latency:latency
1774475047.7950866,DOWN,-5.92538594751386,-15.378974416104029,6.72410249710083,DOWN,-23.85210147662295,5.92538594751386,0.13025073265952294,768.000000010943,15.830639948287011,RSI_RANGE_EXIT,9.227308316219364,14.996105998870451,85.00389400112955,-13.970448761985406,0.17,0.17017,0.44,0.43956,58.764764647117595,58.764764647117595,10.0,10.0,25.83063994828701,0.83,0.84,0.16,0.17,0.55,0.56,0.44,0.45,latency,latency,latency:latency
1774475187.0688286,DOWN,-18.69696999998996,-18.69696999998996,0.04994797706604004,DOWN,-54.353450383958446,18.69696999998996,0.4915991070321748,192.00000001001172,1.088911088911086,RSI_RANGE_EXIT,5.243470533246139,14.996326484267195,85.0036735157328,-0.7303083551157812,0.27,0.27027,0.3,0.29969999999999997,37.000037000037,37.000037000037,10.0,10.0,11.088911088911086,0.73,0.74,0.26,0.27,0.69,0.7,0.3,0.31,latency,latency,latency:latency
1774475189.764773,DOWN,-19.049307313209283,-9.310000000012224,1.5009090900421143,DOWN,-10.433548049739867,19.049307313209283,0.17013219108111577,286.0000000218861,0.835450264021695,RSI_RANGE_EXIT,3.3765249470530563,14.993184370412283,85.00681562958772,0.0,0.35,0.35034999999999994,0.38,0.37962,28.542885685742835,28.542885685742835,10.0,10.0,10.835450264021695,0.65,0.67,0.33,0.35,0.61,0.63,0.38,0.39,latency,latency,latency:latency
1774475231.044014,UP,7.391999999992549,-6.837035084798117,5.71161413192749,UP,51.36206885311581,7.391999999992549,0.9496461352408168,298.0000000097789,-0.6070400188047227,PNL_SL,24.30873255622903,14.99724349415372,85.00275650584628,0.0,0.34,0.34034,0.32,0.31968,29.382382323558797,29.382382323558797,10.0,10.0,9.392959981195277,0.33,0.34,0.65,0.66,0.32,0.34,0.66,0.68,latency,latency,latency:latency
1774475333.3532784,DOWN,-23.7594018834061,-18.80313670162286,1.2717492580413818,DOWN,-15.793926776444811,23.7594018834061,0.5234642080128098,1111.0000000044238,2.7744255744255764,RSI_RANGE_EXIT,19.16040741619716,14.993151958502139,85.00684804149786,-0.7868663549144088,0.5,0.5005,0.64,0.63936,19.980019980019982,19.980019980019982,10.0,10.0,12.774425574425576,0.5,0.55,0.45,0.5,0.33,0.38,0.64,0.67,latency,latency,latency:latency
1774475454.5212743,DOWN,-13.740226504203747,-17.740388462436385,0.717754602432251,DOWN,-52.86266479709854,13.740226504203747,0.01183947118876507,720.999999990454,3.572827172827175,RSI_RANGE_EXIT,17.30781856282489,14.995953856946105,85.0040461430539,-1.9626902695013726,0.25,0.25025,0.34,0.33966,39.960039960039964,39.960039960039964,10.0,10.0,13.572827172827175,0.75,0.77,0.23,0.25,0.63,0.64,0.34,0.35,latency,latency,latency:latency
